pi,area
Shiaofen Fang,Visualization & visual analytics
Francesco Cafaro,Visualization & visual analytics
Rakesh Shiradkar,Medical imaging & Computer Vision
Shiaofen Fang,Medical imaging & Computer Vision
Mohamed Abdel-Mottaleb,Medical imaging & Computer Vision
Jingwen Yan,AI in brain data analytics
Shiaofen Fang,AI in brain data analytics
Lu Zhang,AI in brain data analytics
Jingwen Yan,Bioinformatics
Sarath Chandra Janga,Bioinformatics
Juexin Wang,Bioinformatics
Bohdan Khomtchouk,Bioinformatics
Ming Jiang ,Natural language processing
Hyeju Jang,Natural language processing
Sunandan Chakraborty,Natural language processing
Davide Bolchini,HCI for accessibility
Erin Brady,HCI for accessibility
Francesco Cafaro,HCI for accessibility
Aqueasha Martin-Hammond,HCI for healthcare
Andrew D. Miller,HCI for healthcare
Saptarshi Purkayastha,HCI for healthcare
Karl F. MacDorman,HCI for healthcare
Hee-Tae Jung,HCI for healthcare
Saptarshi Purkayastha,AI for healthcare
Yan Zhuang,AI for healthcare
Lu Zhang,AI for healthcare
Rakesh Shiradkar,AI for healthcare
Saptarshi Purkayastha,Trusted AI
Shiaofen Fang,Trusted AI
Karl F. MacDorman,Trusted AI
Arjan Durresi,Trusted AI
Mohammad Al Hasan,Machine learning & data mining
Sunandan Chakraborty,Machine learning & data mining
Angela Murillo,Data infrastructure
Yao Liang,Data infrastructure
Xukai Zou,Data infrastructure
Xukai Zou,Cybersecurity & privacy
Yan Zhuang,Cybersecurity & privacy
Arjan Durresi,Cybersecurity & privacy
Sunandan Chakraborty,Education research
Yan Zhuang,Education research
Angela Murillo,Education research
Kyle M. L. Jones,Education research
Fawzi BenMessaoud,Education research
Andrea Copeland,Library & learning
Ayoung Yoon,Library & learning
Soo Hyeon Kim,Library & learning
James Hill,Software engineering
Zebulun M. Wood,VR for Cognitive Rehabilitation & Social Skill Development & digital media
Hee-Tae Jung,VR for Cognitive Rehabilitation & Social Skill Development & digital media
Ekaterina Muravevskaia,VR for Cognitive Rehabilitation & Social Skill Development & digital media
C. Thomas Lewis,VR for Cognitive Rehabilitation & Social Skill Development & digital media
Mangilal Agarwal,Integrated Nanosystems Development Institute (INDI)
The Polis Center,The Polis Center
Integrated Nanosystems Development Institute (INDI),Integrated Nanosystems Development Institute (INDI)
